"Last updated: 1/16/2026, 7:43:35 AM",0x302d129011fb164d8d5fe93cd1e8795d61c4f76f,,Data cached at: 2026-01-16T13:42:38.972047,,,,
Project,Chain,Total Value,Section Type,Category,Token/Pool,Balance,USD Value
Morpho,unknown,"$101,088.37",Lending,Supplied,XAUt,68.3776,"$314,632.47"
Morpho,unknown,"$101,088.37",Lending,Borrowed,USDT,"213,616.73","$213,544.10"
Curvance,monad,"$62,614.44",Lending,Supplied,AUSD,"292,340.40","$292,434.27"
Curvance,monad,"$62,614.44",Lending,Borrowed,AUSD,"229,746.06","$229,819.83"
Pendle V2,plasma,"$50,170.51",Deposit,Deposit,PT-sUSDE-9APR2026,"50,840.59","$50,170.51"
Morpho,arb,"$47,944.35",Lending,Supplied,syrupUSDC,"172,679.24","$197,998.24"
Morpho,arb,"$47,944.35",Lending,Borrowed,USD₮0,"150,104.92","$150,053.89"
Gearbox,plasma,"$38,989.34",Yield,Yield,USDT0,"39,002.61","$38,989.34"
Pendle V2,unknown,"$35,515.75",Deposit,Deposit,PT-USD3-29JAN2026,"30,872.24","$35,515.75"
Morpho,monad,"$13,180.54",Lending,Supplied,WBTC,0.51,"$48,707.37"
Morpho,monad,"$13,180.54",Lending,Borrowed,AUSD,"35,515.43","$35,526.83"
