"Last updated: 17/01/2026, 04:36:26",ERKdjoj6UHoPiwXv784SAnHowc4E5AJFUErWJCCFtga,Data cached at: 2026-01-17T10:33:31.667661,,,,
Project,Section Type,Market/Type,Token,Balance,Yield (%),Value ($)
Holdings,Wallet,Holdings,PT-ONyc,"23,008.00",,"$22,929.19"
Holdings,Wallet,Holdings,QQQx,23.98,,"$14,936.15"
Holdings,Wallet,Holdings,TSLAx,11.57,,"$5,082.89"
Kamino,Farming,Farming,USDC-CASH,"49,254.00",,"$92,664.37"
Kamino,Lending,Prime Market (Supplied),USDC,"41,135.00",5.73,"$41,320.63"
Kamino,Lending,OnRe Market (Supplied),ONyc,"38,035.00",10.87,"$40,844.17"
Kamino,Lending,OnRe Market (Borrowed),USDS,"17,208.00",4.65,"$17,283.91"
Jupiter,Lending,Unknown Market (Supplied),LBTC,2.19,0.41,"$209,024.16"
Jupiter,Lending,Unknown Market (Borrowed),USDC,"141,301.00",3.16,"$141,937.38"
